id	filename	md5	size	state
01d607fe-fc0b-441f-9528-8495666cd83e	01d607fe-fc0b-441f-9528-8495666cd83e/8ccd8cbb-c886-4fc4-b3d2-19476681da78.rna_seq.augmented_star_gene_counts.tsv	c4be0332121ae569ca76d22a352b7f3e	4213523	validated
0295ea9f-3c48-400e-8004-05ca911f460d	0295ea9f-3c48-400e-8004-05ca911f460d/31a7d787-3d81-4ee0-8995-1579c57bc29d.rna_seq.augmented_star_gene_counts.tsv	4050d0a430329119b5ab9f74c4ff6572	4223822	validated
0508b025-15b5-4012-b1b1-530d329eeec9	0508b025-15b5-4012-b1b1-530d329eeec9/8598c338-e04c-4a8a-92da-1ef545a6ca45.rna_seq.augmented_star_gene_counts.tsv	2952bbdb4db427d0b9d81ca17d2dbdac	4225380	validated
0671f907-5a87-4d69-b18b-353e123b04a0	0671f907-5a87-4d69-b18b-353e123b04a0/25de9457-d9d3-4ad6-9598-fa46727b8a97.rna_seq.augmented_star_gene_counts.tsv	a3014d0b6b9966f71f8ddc56233b5d5b	4225567	validated
07f3248f-4c22-441e-8b7e-18a77064d984	07f3248f-4c22-441e-8b7e-18a77064d984/0a669eee-5610-4b4d-af54-7fc85a0bab8f.rna_seq.augmented_star_gene_counts.tsv	4a9c29124c961237bd8d81c21ba94fd3	4230839	validated
08c1c957-1ef0-48c2-8131-e1e9f29f9b02	08c1c957-1ef0-48c2-8131-e1e9f29f9b02/6de014e5-5283-42d9-996f-78a3a71202c5.rna_seq.augmented_star_gene_counts.tsv	8df5f757533f5d37141e4068e7b28765	4230433	validated
0bce5c44-d739-43d9-bee3-24e8e1a8c064	0bce5c44-d739-43d9-bee3-24e8e1a8c064/a807144d-b47f-4947-a32e-7911ba746c46.rna_seq.augmented_star_gene_counts.tsv	c154618d9f5ce47068dbef5e8d714680	4241385	validated
130c3d03-9b15-4577-bff2-f9e3cf8cda29	130c3d03-9b15-4577-bff2-f9e3cf8cda29/e8d232dc-b092-464a-985f-8c7f2a9132d8.rna_seq.augmented_star_gene_counts.tsv	462e509230d8cca92b63e1609cbac24f	4214137	validated
1eacbfe2-b796-459a-9daa-3a7298235218	1eacbfe2-b796-459a-9daa-3a7298235218/a932a1f0-5850-4593-928f-c916019adf91.rna_seq.augmented_star_gene_counts.tsv	d6450cd959e179035a9d3ef22ca81f31	4235075	validated
1f40b3db-3351-4dbc-8560-5c5b6a0e0def	1f40b3db-3351-4dbc-8560-5c5b6a0e0def/a057783d-e497-4985-bcc7-0ae48388c883.rna_seq.augmented_star_gene_counts.tsv	90d1a5d4e2bcf870913adb1f3970a988	4230180	validated
23457939-bb98-4ffe-aa3d-c96099bab2db	23457939-bb98-4ffe-aa3d-c96099bab2db/d55e5e2a-1668-4bec-8cbe-253ad383ea3b.rna_seq.augmented_star_gene_counts.tsv	736061f3f669db796363986b9a7a7859	4239004	validated
24cb500c-dfbe-4c83-91c1-7d665497137e	24cb500c-dfbe-4c83-91c1-7d665497137e/47471bac-d7d6-453a-b353-491ccfd5d900.rna_seq.augmented_star_gene_counts.tsv	0189b8fdbb3404829ebc3b50e14a6277	4262177	validated
29b722ad-3c3a-493a-96d2-daeb00763881	29b722ad-3c3a-493a-96d2-daeb00763881/d5d7baec-3dd6-493a-98f5-e45e715859b7.rna_seq.augmented_star_gene_counts.tsv	9ff605125520f5a605011dc82f504b7e	4239054	validated
2a82e572-e911-4103-b01a-8a5fc8dcc8a6	2a82e572-e911-4103-b01a-8a5fc8dcc8a6/16a4979e-c57f-4341-8471-3dea2a358a96.rna_seq.augmented_star_gene_counts.tsv	955b3c7f470daa0bfe36f6e3af6c97f1	4225787	validated
2cafd44f-2e38-40d5-937a-d122886ef8e7	2cafd44f-2e38-40d5-937a-d122886ef8e7/b7c5a9d4-1fc1-46a5-a86a-e3c4f38f85df.rna_seq.augmented_star_gene_counts.tsv	a795e71d6661fdbee31f7209b5a0f3af	4228641	validated
2d21aabe-6a63-4271-945f-5854bf890b41	2d21aabe-6a63-4271-945f-5854bf890b41/844cc94a-ae27-47a5-a917-73b96203ea84.rna_seq.augmented_star_gene_counts.tsv	ad1f223f1b2a7f7ef55707bda9085d89	4248477	validated
2da6fba1-296e-4cdf-8ffb-f9a4f7709038	2da6fba1-296e-4cdf-8ffb-f9a4f7709038/939207e7-b6be-4c9f-bf4f-540709c0abc9.rna_seq.augmented_star_gene_counts.tsv	f3216d4cfe9538294b7fd9a54b44c391	4219955	validated
2f139a03-2848-4b7e-9c81-34fb5d4bf3bf	2f139a03-2848-4b7e-9c81-34fb5d4bf3bf/2683f38b-0902-499f-a0ec-1bc0c2cb4c52.rna_seq.augmented_star_gene_counts.tsv	2c1c7a95b8a851fe292dc0f9c7b550f2	4232843	validated
2f940d2e-7aca-4897-8a52-2eed03d5b002	2f940d2e-7aca-4897-8a52-2eed03d5b002/1b4a799b-96e4-48da-b94c-486bc2a8ae91.rna_seq.augmented_star_gene_counts.tsv	a6d94cf2fd775355a5915bed38a4be96	4237616	validated
